compact,slots,requests,lengths,decode_calls,replayed,scattered,replay_share,graphs_held,recorded_while_serving,row_moves,moved_cells
False,4,8,16,30,30,0,1.0,12,0,0,0
False,4,8,8/16,31,21,10,0.6774,12,0,0,0
False,4,8,4/32,43,36,7,0.8372,12,0,0,0
False,8,16,16,30,30,0,1.0,16,0,0,0
False,8,16,8/16,31,14,17,0.4516,16,0,0,0
False,8,16,4/32,47,35,12,0.7447,16,0,0,0
False,8,16,4/8/16/32,47,12,35,0.2553,16,0,0,0
False,16,32,4/32,51,34,17,0.6667,20,0,0,0
True,4,8,16,30,30,0,1.0,12,0,0,0
True,4,8,8/16,31,31,0,1.0,12,0,3,33
True,4,8,4/32,43,43,0,1.0,12,0,5,95
True,8,16,16,30,30,0,1.0,16,0,0,0
True,8,16,8/16,31,31,0,1.0,16,0,6,66
True,8,16,4/32,47,47,0,1.0,16,0,11,217
True,8,16,4/8/16/32,47,47,0,1.0,16,0,8,80
True,16,32,4/32,51,51,0,1.0,20,0,23,461
