rows,context_width,spread,block,rectangle_bytes,tile_bytes,workspace_saving,tiles,rectangle_tiles,ragged_saving
8,2048,uniform,128,2097152,131072,16.0,128,128,1.0
8,2048,2x,128,2097152,131072,16.0,96,128,1.33
8,2048,4x,128,2097152,131072,16.0,60,128,2.13
8,2048,long tail,128,2097152,131072,16.0,30,128,4.27
8,8192,uniform,128,8388608,131072,64.0,512,512,1.0
8,8192,2x,128,8388608,131072,64.0,384,512,1.33
8,8192,4x,128,8388608,131072,64.0,240,512,2.13
8,8192,long tail,128,8388608,131072,64.0,120,512,4.27
32,2048,uniform,128,8388608,524288,16.0,512,512,1.0
32,2048,2x,128,8388608,524288,16.0,384,512,1.33
32,2048,4x,128,8388608,524288,16.0,240,512,2.13
32,2048,long tail,128,8388608,524288,16.0,120,512,4.27
32,8192,uniform,128,33554432,524288,64.0,2048,2048,1.0
32,8192,2x,128,33554432,524288,64.0,1536,2048,1.33
32,8192,4x,128,33554432,524288,64.0,960,2048,2.13
32,8192,long tail,128,33554432,524288,64.0,480,2048,4.27
256,2048,uniform,128,67108864,4194304,16.0,4096,4096,1.0
256,2048,2x,128,67108864,4194304,16.0,3072,4096,1.33
256,2048,4x,128,67108864,4194304,16.0,1920,4096,2.13
256,2048,long tail,128,67108864,4194304,16.0,960,4096,4.27
256,8192,uniform,128,268435456,4194304,64.0,16384,16384,1.0
256,8192,2x,128,268435456,4194304,64.0,12288,16384,1.33
256,8192,4x,128,268435456,4194304,64.0,7680,16384,2.13
256,8192,long tail,128,268435456,4194304,64.0,3840,16384,4.27
