rows,prompt,steps,block,mode,same_tokens,calls,score_cells,held_cells,saving,ms_per_read
2,16,48,0,rectangle,yes,94,48128,48128,1.0,0.695
2,16,48,8,streamed,yes,94,48128,12032,4.0,13.842
2,16,48,0,rectangle,yes,94,48128,48128,1.0,0.695
2,16,48,32,streamed,yes,94,48128,39296,1.22,5.902
4,16,48,0,rectangle,yes,94,120320,120320,1.0,0.769
4,16,48,8,streamed,yes,94,120320,24064,5.0,28.245
4,16,48,0,rectangle,yes,94,120320,120320,1.0,0.769
4,16,48,32,streamed,yes,94,120320,88576,1.36,11.666
8,16,48,0,rectangle,yes,94,240640,240640,1.0,0.828
8,16,48,8,streamed,yes,94,240640,48128,5.0,55.568
8,16,48,0,rectangle,yes,94,240640,240640,1.0,0.828
8,16,48,32,streamed,yes,94,240640,177152,1.36,22.678
