slots,context,read,block,row_buckets,width_buckets,shapes,startup_s,arena_mib,waste
8,2048,rectangle,0,4,16,64,3.2,2.0,0.33
8,2048,streamed,32,4,1,4,0.58,0.03,0.029
8,4096,rectangle,0,4,32,128,6.4,4.0,0.33
8,4096,streamed,32,4,1,4,0.58,0.03,0.029
16,8192,rectangle,0,5,64,320,16.0,16.0,0.33
16,8192,streamed,32,5,1,5,0.72,0.06,0.029
32,4096,rectangle,0,6,32,192,9.6,16.0,0.33
32,4096,streamed,32,6,1,6,0.87,0.12,0.029
64,8192,rectangle,0,7,64,448,22.4,64.0,0.33
64,8192,streamed,32,7,1,7,1.01,0.25,0.029
256,8192,rectangle,0,9,64,576,28.8,256.0,0.33
256,8192,streamed,32,9,1,9,1.3,1.0,0.029
