rows,context_width,fill,longest,spread,block,heads,programs,tiles,tail_tiles,rectangle_tiles,work_saving,wave_saving,tight_wave_saving,imbalance
8,8192,early,512,uniform,32,32,256,4096,16,65536,16.0,16.0,1.0,1.0
8,8192,early,512,2x,32,32,256,3072,16,65536,21.33,16.0,1.0,1.33
8,8192,early,512,4x,32,32,256,1920,16,65536,34.13,16.0,1.0,2.13
8,8192,early,512,long tail,32,32,256,960,16,65536,68.27,16.0,1.0,4.27
8,8192,half,4096,uniform,32,32,256,32768,128,65536,2.0,2.0,1.0,1.0
8,8192,half,4096,2x,32,32,256,24576,128,65536,2.67,2.0,1.0,1.33
8,8192,half,4096,4x,32,32,256,15360,128,65536,4.27,2.0,1.0,2.13
8,8192,half,4096,long tail,32,32,256,7680,128,65536,8.53,2.0,1.0,4.27
32,8192,early,512,uniform,32,32,1024,16384,16,262144,16.0,16.0,1.0,1.0
32,8192,early,512,2x,32,32,1024,12288,16,262144,21.33,16.0,1.0,1.33
32,8192,early,512,4x,32,32,1024,7680,16,262144,34.13,16.0,1.0,2.13
32,8192,early,512,long tail,32,32,1024,3840,16,262144,68.27,16.0,1.0,4.27
32,8192,half,4096,uniform,32,32,1024,131072,128,262144,2.0,2.0,1.0,1.0
32,8192,half,4096,2x,32,32,1024,98304,128,262144,2.67,2.0,1.0,1.33
32,8192,half,4096,4x,32,32,1024,61440,128,262144,4.27,2.0,1.0,2.13
32,8192,half,4096,long tail,32,32,1024,30720,128,262144,8.53,2.0,1.0,4.27
256,8192,early,512,uniform,32,32,8192,131072,16,2097152,16.0,16.0,1.0,1.0
256,8192,early,512,2x,32,32,8192,98304,16,2097152,21.33,16.0,1.0,1.33
256,8192,early,512,4x,32,32,8192,61440,16,2097152,34.13,16.0,1.0,2.13
256,8192,early,512,long tail,32,32,8192,30720,16,2097152,68.27,16.0,1.0,4.27
256,8192,half,4096,uniform,32,32,8192,1048576,128,2097152,2.0,2.0,1.0,1.0
256,8192,half,4096,2x,32,32,8192,786432,128,2097152,2.67,2.0,1.0,1.33
256,8192,half,4096,4x,32,32,8192,491520,128,2097152,4.27,2.0,1.0,2.13
256,8192,half,4096,long tail,32,32,8192,245760,128,2097152,8.53,2.0,1.0,4.27
