rows,context_width,spread,block,heads,head_dim,splits,keys_per_split,programs,tiles,tail_tiles,unsplit_tail_tiles,wave_speedup,idle_fraction,imbalance,partial_mib
1,8192,uniform,32,32,128,1,8192,32,8192,256,256,1.0,0.0,1.0,0.02
1,8192,uniform,32,32,128,2,4096,64,8192,128,256,2.0,0.0,1.0,0.03
1,8192,uniform,32,32,128,4,2048,128,8192,64,256,4.0,0.0,1.0,0.06
1,8192,uniform,32,32,128,8,1024,256,8192,32,256,8.0,0.0,1.0,0.13
1,8192,uniform,32,32,128,16,512,512,8192,16,256,16.0,0.0,1.0,0.25
8,8192,uniform,32,32,128,1,8192,256,65536,256,256,1.0,0.0,1.0,0.13
8,8192,uniform,32,32,128,2,4096,512,65536,128,256,2.0,0.0,1.0,0.25
8,8192,uniform,32,32,128,4,2048,1024,65536,64,256,4.0,0.0,1.0,0.51
8,8192,uniform,32,32,128,8,1024,2048,65536,32,256,8.0,0.0,1.0,1.02
8,8192,uniform,32,32,128,16,512,4096,65536,16,256,16.0,0.0,1.0,2.03
8,8192,4x,32,32,128,1,8192,256,30720,256,256,1.0,0.0,2.13,0.13
8,8192,4x,32,32,128,2,4096,512,30720,128,256,2.0,0.375,2.13,0.25
8,8192,4x,32,32,128,4,2048,1024,30720,64,256,4.0,0.5,2.13,0.51
8,8192,4x,32,32,128,8,1024,2048,30720,32,256,8.0,0.531,2.13,1.02
8,8192,4x,32,32,128,16,512,4096,30720,16,256,16.0,0.531,2.13,2.03
8,8192,long tail,32,32,128,1,8192,256,15360,256,256,1.0,0.0,4.27,0.13
8,8192,long tail,32,32,128,2,4096,512,15360,128,256,2.0,0.438,4.27,0.25
8,8192,long tail,32,32,128,4,2048,1024,15360,64,256,4.0,0.656,4.27,0.51
8,8192,long tail,32,32,128,8,1024,2048,15360,32,256,8.0,0.766,4.27,1.02
8,8192,long tail,32,32,128,16,512,4096,15360,16,256,16.0,0.766,4.27,2.03
32,8192,uniform,32,32,128,1,8192,1024,262144,256,256,1.0,0.0,1.0,0.51
32,8192,uniform,32,32,128,2,4096,2048,262144,128,256,2.0,0.0,1.0,1.02
32,8192,uniform,32,32,128,4,2048,4096,262144,64,256,4.0,0.0,1.0,2.03
32,8192,uniform,32,32,128,8,1024,8192,262144,32,256,8.0,0.0,1.0,4.06
32,8192,uniform,32,32,128,16,512,16384,262144,16,256,16.0,0.0,1.0,8.12
32,8192,4x,32,32,128,1,8192,1024,122880,256,256,1.0,0.0,2.13,0.51
32,8192,4x,32,32,128,2,4096,2048,122880,128,256,2.0,0.375,2.13,1.02
32,8192,4x,32,32,128,4,2048,4096,122880,64,256,4.0,0.5,2.13,2.03
32,8192,4x,32,32,128,8,1024,8192,122880,32,256,8.0,0.531,2.13,4.06
32,8192,4x,32,32,128,16,512,16384,122880,16,256,16.0,0.531,2.13,8.12
32,8192,long tail,32,32,128,1,8192,1024,61440,256,256,1.0,0.0,4.27,0.51
32,8192,long tail,32,32,128,2,4096,2048,61440,128,256,2.0,0.438,4.27,1.02
32,8192,long tail,32,32,128,4,2048,4096,61440,64,256,4.0,0.656,4.27,2.03
32,8192,long tail,32,32,128,8,1024,8192,61440,32,256,8.0,0.766,4.27,4.06
32,8192,long tail,32,32,128,16,512,16384,61440,16,256,16.0,0.766,4.27,8.12
